Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,sensor,SHAP,0.8357142857142857,0.8349293924466339,24,0
Random Forest,uci,sensor,SHAP,0.8357142857142857,0.8359706959706961,23,7
Random Forest,uci,sensor,SHAP,0.8071428571428572,0.8064458380975481,22,12
Random Forest,uci,sensor,SHAP,0.8285714285714286,0.8282346006483936,21,5
Random Forest,uci,sensor,SHAP,0.8285714285714286,0.82718855963438,20,21
Random Forest,uci,sensor,SHAP,0.8071428571428572,0.8065917688868508,19,9
Random Forest,uci,sensor,SHAP,0.7928571428571428,0.7913080681327664,18,1
Random Forest,uci,sensor,SHAP,0.7928571428571428,0.7913509441378294,17,17
Random Forest,uci,sensor,SHAP,0.7785714285714286,0.7767328332039289,16,19
Random Forest,uci,sensor,SHAP,0.7642857142857142,0.7612895703071085,15,13
Random Forest,uci,sensor,SHAP,0.7928571428571428,0.7912874286071934,14,2
Random Forest,uci,sensor,SHAP,0.8071428571428572,0.8062962962962963,13,6
Random Forest,uci,sensor,SHAP,0.75,0.7466269257372824,12,23
Random Forest,uci,sensor,SHAP,0.7642857142857142,0.7610574712643678,11,20
Random Forest,uci,sensor,SHAP,0.7714285714285715,0.7685883518396334,10,22
Random Forest,uci,sensor,SHAP,0.7571428571428571,0.7555752038510659,9,3
Random Forest,uci,sensor,SHAP,0.8,0.7986151451207534,8,16
Random Forest,uci,sensor,SHAP,0.75,0.7494419048745659,7,14
Random Forest,uci,sensor,SHAP,0.7285714285714285,0.7275810790234989,6,10
Random Forest,uci,sensor,SHAP,0.7571428571428571,0.7567040497387089,5,8
Random Forest,uci,sensor,SHAP,0.6214285714285714,0.616615998871638,4,15
Random Forest,uci,sensor,SHAP,0.4785714285714286,0.4723579086768374,3,11
Random Forest,uci,sensor,SHAP,0.4571428571428571,0.4511683830932727,2,18
Random Forest,uci,sensor,SHAP,0.44285714285714284,0.44067315624484416,1,4
