Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,24,9
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,23,18
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,22,11
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,21,13
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,20,12
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,19,14
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,18,21
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,17,20
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,16,16
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,15,22
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,14,17
KNN,motionsense,all,SHAP,0.8273809523809523,0.8267331950494006,13,15
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,12,5
KNN,motionsense,all,SHAP,0.8214285714285714,0.8209532441801639,11,23
KNN,motionsense,all,SHAP,0.8333333333333334,0.8325324057593254,10,19
KNN,motionsense,all,SHAP,0.8333333333333334,0.8325324057593254,9,6
KNN,motionsense,all,SHAP,0.8154761904761905,0.8148709233437447,8,7
KNN,motionsense,all,SHAP,0.8154761904761905,0.8148709233437447,7,3
KNN,motionsense,all,SHAP,0.8154761904761905,0.8148709233437447,6,10
KNN,motionsense,all,SHAP,0.8154761904761905,0.8148709233437447,5,8
KNN,motionsense,all,SHAP,0.8154761904761905,0.8148709233437447,4,4
KNN,motionsense,all,SHAP,0.8154761904761905,0.8126884505728332,3,2
KNN,motionsense,all,SHAP,0.7797619047619048,0.7791630413248761,2,1
KNN,motionsense,all,SHAP,0.6547619047619048,0.6597951555426823,1,0
