Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,realworld_waist,all,SHAP,0.5714285714285714,0.5788659706306766,24,19
SVM,realworld_waist,all,SHAP,0.5714285714285714,0.5788659706306766,23,12
SVM,realworld_waist,all,SHAP,0.5714285714285714,0.5788659706306766,22,17
SVM,realworld_waist,all,SHAP,0.5714285714285714,0.5788659706306766,21,14
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5843493761140821,20,9
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5843493761140821,19,23
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5843493761140821,18,22
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5843493761140821,17,11
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5843493761140821,16,21
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5840436306274815,15,7
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5840436306274815,14,13
SVM,realworld_waist,all,SHAP,0.5833333333333334,0.589404935988787,13,18
SVM,realworld_waist,all,SHAP,0.5833333333333334,0.589404935988787,12,16
SVM,realworld_waist,all,SHAP,0.5833333333333334,0.589404935988787,11,10
SVM,realworld_waist,all,SHAP,0.5833333333333334,0.589404935988787,10,20
SVM,realworld_waist,all,SHAP,0.5833333333333334,0.589404935988787,9,15
SVM,realworld_waist,all,SHAP,0.5833333333333334,0.589404935988787,8,5
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5827957678593205,7,6
SVM,realworld_waist,all,SHAP,0.5654761904761905,0.571008733597009,6,3
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.5757546154639636,5,8
SVM,realworld_waist,all,SHAP,0.5773809523809523,0.576888461367907,4,1
SVM,realworld_waist,all,SHAP,0.5714285714285714,0.5677833754644821,3,4
SVM,realworld_waist,all,SHAP,0.5476190476190477,0.5387646227745864,2,2
SVM,realworld_waist,all,SHAP,0.49404761904761907,0.48456916849909515,1,0
