Classifier,Dataset,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,realworld_thigh,all,SHAP,0.7023809523809523,0.7059770091608811,24,9
KNN,realworld_thigh,all,SHAP,0.7023809523809523,0.7059770091608811,23,12
KNN,realworld_thigh,all,SHAP,0.7023809523809523,0.7059770091608811,22,11
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7008768270115188,21,18
KNN,realworld_thigh,all,SHAP,0.6904761904761905,0.6957122103965888,20,13
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7008768270115188,19,14
KNN,realworld_thigh,all,SHAP,0.6904761904761905,0.6957122103965888,18,17
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7008768270115188,17,21
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.6999950607701991,16,16
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7002003152857985,15,19
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7002003152857985,14,5
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7002003152857985,13,23
KNN,realworld_thigh,all,SHAP,0.6964285714285714,0.7002003152857985,12,22
KNN,realworld_thigh,all,SHAP,0.6904761904761905,0.695162227246608,11,20
KNN,realworld_thigh,all,SHAP,0.6904761904761905,0.6941463482488183,10,15
KNN,realworld_thigh,all,SHAP,0.6845238095238095,0.6893797612114407,9,7
KNN,realworld_thigh,all,SHAP,0.6845238095238095,0.6890605974734125,8,6
KNN,realworld_thigh,all,SHAP,0.6785714285714286,0.6850268592606398,7,3
KNN,realworld_thigh,all,SHAP,0.6726190476190477,0.6786838296935666,6,10
KNN,realworld_thigh,all,SHAP,0.6666666666666666,0.6735187614913519,5,4
KNN,realworld_thigh,all,SHAP,0.6190476190476191,0.628123021684052,4,8
KNN,realworld_thigh,all,SHAP,0.6190476190476191,0.627949503791348,3,2
KNN,realworld_thigh,all,SHAP,0.5892857142857143,0.59719010001526,2,1
KNN,realworld_thigh,all,SHAP,0.5178571428571429,0.5191386156040521,1,0
